year,name,gender,ratio,females,males,total
2014,Zayden,M,99,14,2209,2223
2014,Amy,F,100,2178,5,2183
2014,Mark,M,100,8,2161,2169
2014,Jake,M,100,0,2154,2154
2014,Laila,F,100,2133,0,2133
2014,Kenneth,M,100,0,2128,2128
2014,Isla,F,100,2122,0,2122
2014,Brady,M,98,36,2083,2119
2014,Maximus,M,100,0,2118,2118
2014,Elliot,M,83,367,1750,2117
2014,Londyn,F,99,2081,28,2109
2014,Sean,M,100,0,2107,2107
2014,Adalyn,F,100,2105,0,2105
2014,Angelina,F,100,2105,0,2105
2014,Cayden,M,97,68,2037,2105
2014,Rylan,M,84,339,1726,2065
2014,Nicolas,M,100,0,2060,2060
2014,Rachel,F,100,2051,0,2051
2014,Destiny,F,100,2043,7,2050
2014,Melody,F,100,2048,0,2048
2014,Juliana,F,100,2045,0,2045
2014,Kaitlyn,F,100,2044,0,2044
2014,Brooklynn,F,100,2043,0,2043
2014,Caden,M,99,14,2027,2041
2014,Graham,M,100,9,2026,2035
2014,Gracie,F,100,2021,0,2021
2014,Dakota,F,56,1136,876,2012
2014,Jayceon,M,100,6,2006,2012
2014,Norah,F,100,1994,0,1994
2014,Emilia,F,100,1989,0,1989
2014,Paul,M,100,0,1987,1987
2014,Skyler,F,54,1070,911,1981
2014,Elise,F,100,1959,5,1964
2014,Sara,F,100,1949,7,1956
2014,Aliyah,F,100,1947,0,1947
2014,Margaret,F,100,1933,0,1933
2014,Gage,M,100,6,1923,1929
2014,River,M,63,703,1223,1926
2014,Catherine,F,100,1923,0,1923
2014,Corbin,M,99,13,1910,1923
2014,Vanessa,F,100,1913,5,1918
2014,Marley,F,86,1643,273,1916
2014,Katelyn,F,100,1910,0,1910
2014,Gabrielle,F,100,1902,7,1909
2014,Elliott,M,83,329,1574,1903
2014,Peter,M,100,0,1899,1899
2014,Tanner,M,97,57,1840,1897
2014,Arabella,F,100,1894,0,1894
2014,Maverick,M,99,20,1862,1882
2014,Valeria,F,100,1882,0,1882
2014,Dallas,M,72,522,1359,1881
2014,Derek,M,100,0,1874,1874
2014,Presley,F,92,1733,141,1874
2014,Valerie,F,100,1871,0,1871
2014,Adriana,F,100,1861,8,1869
2014,Everly,F,100,1854,5,1859
2014,Jax,M,99,11,1836,1847
2014,Jorge,M,100,0,1841,1841
2014,Amir,M,99,17,1809,1826
2014,Xander,M,100,0,1824,1824
2014,Gael,M,100,6,1802,1808
2014,Omar,M,100,0,1795,1795
2014,Iker,M,100,0,1787,1787
2014,Jessica,F,100,1779,0,1779
2014,Summer,F,99,1759,16,1775
2014,Makenzie,F,100,1766,7,1773
2014,Daisy,F,100,1769,0,1769
2014,Jasper,M,98,36,1731,1767
2014,Zion,M,83,295,1471,1766
2014,Javier,M,100,0,1761,1761
2014,Lila,F,100,1758,0,1758
2014,Rebecca,F,100,1758,0,1758
2014,Julianna,F,100,1756,0,1756
2014,Callie,F,100,1751,0,1751
2014,August,M,87,230,1520,1750
2014,Cody,M,99,26,1722,1748
2014,Ryleigh,F,99,1735,13,1748
2014,Michelle,F,100,1737,0,1737
2014,Alaina,F,100,1729,0,1729
2014,Angela,F,100,1722,0,1722
2014,Spencer,M,88,203,1506,1709
2014,Alina,F,100,1706,0,1706
2014,Dean,M,100,6,1700,1706
2014,Harmony,F,100,1704,0,1704
2014,Jaiden,M,91,148,1552,1700
2014,Collin,M,99,9,1688,1697
2014,Andres,M,100,0,1696,1696
2014,Zane,M,100,7,1674,1681
2014,Rose,F,100,1678,0,1678
2014,Athena,F,100,1677,0,1677
2014,Cali,F,99,1652,24,1676
2014,Adelyn,F,100,1666,6,1672
2014,Beau,M,97,45,1622,1667
2014,Alana,F,100,1664,0,1664
2014,Keegan,M,93,117,1547,1664
2014,Myles,M,99,9,1655,1664
2014,Izabella,F,100,1653,0,1653
2014,Esther,F,100,1638,0,1638
2014,Fiona,F,100,1636,0,1636
2014,Stephanie,F,100,1630,0,1630
2014,Conner,M,100,8,1620,1628
2014,Lorenzo,M,100,0,1628,1628
2014,Arya,F,95,1544,82,1626
2014,Cecilia,F,100,1623,0,1623
2014,Kinley,F,99,1610,13,1623
2014,Lukas,M,100,0,1619,1619
2014,Kate,F,100,1611,0,1611
2014,Jayla,F,100,1609,0,1609
2014,Simon,M,100,0,1602,1602
2014,Genevieve,F,100,1595,0,1595
2014,Francisco,M,100,0,1591,1591
2014,Beckett,M,95,79,1511,1590
2014,Kylee,F,99,1580,10,1590
2014,Alexandria,F,100,1589,0,1589
2014,Eliza,F,100,1585,0,1585
2014,Finn,M,99,18,1567,1585
2014,Alivia,F,100,1579,0,1579
2014,Devin,M,93,103,1476,1579
2014,Israel,M,96,56,1523,1579
2014,Giselle,F,100,1573,0,1573
2014,Gunner,M,100,0,1564,1564
2014,Garrett,M,100,5,1552,1557
2014,Amari,M,62,585,970,1555
2014,Judah,M,98,34,1514,1548
2014,Griffin,M,99,22,1522,1544
2014,Chance,M,98,34,1501,1535
2014,Brooks,M,98,27,1507,1534
2014,Alayna,F,100,1533,0,1533
2014,Leilani,F,100,1532,0,1532
2014,Phoenix,M,59,629,901,1530
2014,Adeline,F,100,1522,0,1522
2014,Jennifer,F,100,1514,6,1520
2014,Remington,M,73,410,1101,1511
2014,Tessa,F,100,1510,0,1510
2014,Ana,F,100,1508,0,1508
2014,Zander,M,100,0,1507,1507
2014,Damien,M,100,0,1496,1496
2014,Melissa,F,100,1496,0,1496
2014,Waylon,M,99,8,1486,1494
2014,Seth,M,100,0,1490,1490
2014,Daniela,F,100,1486,0,1486
2014,Teagan,F,86,1272,212,1484
2014,Paxton,M,96,60,1422,1482
2014,Travis,M,100,0,1480,1480
2014,Aniyah,F,100,1479,0,1479
2014,Emiliano,M,100,0,1471,1471
2014,Lyric,F,83,1210,255,1465
2014,Daleyza,F,100,1461,0,1461
2014,Keira,F,100,1459,0,1459
2014,Reid,M,98,32,1425,1457
2014,Ricardo,M,100,0,1457,1457
2014,Erick,M,100,0,1437,1437
2014,Stephen,M,100,0,1433,1433
2014,Martin,M,100,5,1421,1426
2014,Eduardo,M,100,0,1421,1421
2014,Lucia,F,100,1421,0,1421
2014,Hope,F,100,1412,0,1412
2014,Gabriela,F,100,1403,0,1403
2014,Fernando,M,100,0,1393,1393
2014,Brynlee,F,100,1387,5,1392
2014,Mckenna,F,100,1388,0,1388
2014,Raymond,M,100,0,1386,1386
2014,Lola,F,100,1370,0,1370
2014,Manuel,M,100,0,1370,1370
2014,Felix,M,100,5,1363,1368
2014,Jeffrey,M,100,0,1368,1368
2014,Caiden,M,99,19,1346,1365
2014,Josue,M,100,0,1359,1359
2014,Kameron,M,94,75,1280,1355
2014,Mario,M,100,0,1355,1355
2014,Amaya,F,100,1349,0,1349
2014,Clayton,M,100,0,1349,1349
2014,Miranda,F,100,1348,0,1348
2014,Harley,F,70,940,407,1347
2014,Maggie,F,100,1344,0,1344
2014,Cassidy,F,97,1294,44,1338
2014,Cristian,M,100,0,1337,1337
2014,Anastasia,F,100,1328,0,1328
2014,Troy,M,99,7,1318,1325
2014,Leila,F,100,1324,0,1324
2014,Cash,M,99,7,1316,1323
2014,Lexi,F,100,1320,0,1320
2014,Georgia,F,100,1319,0,1319
2014,Kenzie,F,100,1317,0,1317
2014,Trevor,M,100,5,1312,1317
2014,Paris,F,93,1218,96,1314
2014,Kyler,M,93,95,1218,1313
2014,Iris,F,100,1312,0,1312
2014,Jacqueline,F,100,1301,0,1301
2014,Shane,M,99,16,1282,1298
2014,Tatum,F,64,828,462,1290
2014,Vivienne,F,100,1289,0,1289
2014,Noelle,F,99,1280,8,1288
2014,Camille,F,100,1280,0,1280
2014,Andy,M,99,16,1263,1279
2014,Cesar,M,100,0,1279,1279
2014,Justice,F,59,756,518,1274
2014,Adrianna,F,100,1272,0,1272
2014,Emilio,M,100,0,1270,1270
2014,Kali,F,98,1247,23,1270
2014,Josie,F,100,1269,0,1269
2014,Juliette,F,100,1268,0,1268
2014,Tyson,M,100,5,1262,1267
2014,Annabella,F,100,1265,0,1265
2014,Allie,F,100,1263,0,1263
2014,Donovan,M,100,5,1258,1263
2014,Juliet,F,100,1263,0,1263
2014,Kendra,F,100,1262,0,1262
2014,Drew,M,84,208,1053,1261
2014,Andre,M,100,0,1260,1260
2014,Brynn,F,99,1253,7,1260
2014,Sienna,F,100,1255,0,1255
2014,Lane,M,95,62,1189,1251
2014,Knox,M,99,11,1238,1249
2014,Titus,M,100,0,1246,1246
2014,Ali,M,81,235,1005,1240
2014,Cruz,M,98,29,1211,1240
2014,Jaylen,M,87,156,1082,1238
2014,Maci,F,100,1235,0,1235
2014,Danielle,F,100,1233,0,1233
2014,Sage,F,68,834,399,1233
2014,Delaney,F,99,1220,8,1228
2014,Haley,F,100,1223,0,1223
2014,Jenna,F,100,1223,0,1223
2014,Nova,F,92,1121,102,1223
2014,Holden,M,99,14,1208,1222
2014,Raelynn,F,100,1222,0,1222
2014,Messiah,M,97,39,1178,1217
2014,Alexia,F,100,1213,0,1213
2014,Louis,M,100,0,1212,1212
2014,Hector,M,100,0,1209,1209
2014,Gemma,F,100,1205,0,1205
2014,Anderson,M,96,49,1155,1204
2014,Lilliana,F,100,1203,0,1203
2014,Landen,M,99,7,1192,1199
2014,Rafael,M,100,0,1195,1195
2014,Chelsea,F,100,1191,0,1191
2014,Archer,M,98,18,1171,1189
2014,Jared,M,99,7,1180,1187
2014,Johnny,M,99,9,1176,1185
2014,Journey,F,94,1110,75,1185
2014,Edwin,M,100,0,1179,1179
2014,Evangeline,F,100,1177,0,1177
2014,Edgar,M,100,0,1175,1175
2014,Johnathan,M,100,0,1173,1173
2014,Milan,M,64,424,748,1172
2014,Ayla,F,100,1169,0,1169
2014,Kaydence,F,96,1111,52,1163
2014,Kayleigh,F,100,1160,0,1160
2014,Haven,F,87,1002,154,1156
2014,Lena,F,100,1156,0,1156
2014,Katie,F,100,1149,0,1149
2014,Elaina,F,100,1145,0,1145
2014,Olive,F,100,1144,0,1144
2014,Madeleine,F,100,1138,5,1143
2014,Trenton,M,100,0,1143,1143
2014,Arthur,M,100,0,1138,1138
2014,Makenna,F,100,1138,0,1138
2014,Sergio,M,100,0,1138,1138
2014,Shelby,F,97,1101,34,1135
2014,Elsa,F,100,1131,0,1131
2014,Marco,M,100,0,1121,1121
2014,Julius,M,100,0,1119,1119
2014,Milo,M,99,10,1109,1119
2014,Nadia,F,100,1119,0,1119
2014,Dominick,M,100,0,1118,1118
2014,Dawson,M,96,44,1073,1117
2014,Alison,F,100,1115,0,1115
2014,Reed,M,98,26,1087,1113
2014,Dalton,M,99,7,1103,1110
2014,Jada,F,100,1107,0,1107
2014,Kathryn,F,100,1107,0,1107
2014,Dante,M,100,0,1100,1100
2014,Angelo,M,100,0,1098,1098
2014,Gregory,M,100,0,1096,1096
2014,Noel,M,81,203,892,1095
2014,Nina,F,100,1091,0,1091
2014,Elliana,F,100,1089,0,1089
2014,Diana,F,100,1088,0,1088
2014,Phoebe,F,100,1086,0,1086
2014,Marshall,M,100,5,1079,1084
2014,Karson,M,95,53,1028,1081
2014,Alessandra,F,100,1078,0,1078
2014,Cadence,F,93,998,77,1075
2014,Eloise,F,100,1074,0,1074
2014,Nyla,F,100,1074,0,1074
2014,Leon,M,100,0,1070,1070
2014,Madilyn,F,100,1067,0,1067
2014,Rory,M,69,326,741,1067
2014,Kamryn,F,80,850,216,1066
2014,Charlee,F,98,1043,21,1064
2014,Erin,F,95,1013,51,1064
2014,Shawn,M,99,13,1050,1063
2014,Adelynn,F,100,1058,0,1058
2014,Megan,F,99,1051,6,1057
2014,Miriam,F,100,1057,0,1057
2014,Ashlyn,F,100,1055,0,1055
2014,Leslie,F,94,994,61,1055
2014,Walker,M,98,19,1034,1053
2014,Amiyah,F,100,1051,0,1051
2014,June,F,99,1039,11,1050
2014,Amber,F,100,1049,0,1049
2014,Rosalie,F,100,1047,0,1047
2014,Annie,F,100,1046,0,1046
2014,Fabian,M,100,0,1046,1046
2014,Lilah,F,100,1044,0,1044
2014,Jett,M,97,29,1014,1043
2014,Amanda,F,100,1042,0,1042
2014,Ruth,F,100,1042,0,1042
2014,Adelaide,F,100,1040,0,1040
2014,Joaquin,M,100,0,1038,1038
2014,Laura,F,100,1038,0,1038
2014,Kelsey,F,98,1014,20,1034
2014,Daniella,F,100,1032,0,1032
2014,Erik,M,100,0,1030,1030
2014,Desmond,M,100,0,1029,1029
2014,Mikayla,F,100,1026,0,1026
2014,Raegan,F,99,1019,7,1026
2014,Emanuel,M,99,6,1015,1021
2014,Jane,F,100,1018,0,1018
2014,Ashlynn,F,100,1015,0,1015
2014,Joanna,F,100,1010,5,1015
2014,Kendrick,M,99,10,1005,1015
2014,Aden,M,98,23,991,1014
2014,Christina,F,100,1012,0,1012
2014,Ainsley,F,99,998,12,1010
2014,Fatima,F,100,1009,0,1009
2014,Allyson,F,100,1008,0,1008
2014,Talia,F,100,1006,0,1006
2014,Mariana,F,100,1004,0,1004
2014,Sabrina,F,100,1003,0,1003
2014,Elsie,F,100,998,0,998
2014,Heaven,F,99,984,12,996
2014,Armani,M,57,422,570,992
2014,Camryn,F,82,810,182,992
2014,Frank,M,100,0,984,984
2014,Rhett,M,99,9,975,984
2014,Arielle,F,100,978,0,978
2014,Cohen,M,98,16,961,977
2014,Maddison,F,100,977,0,977
2014,Walter,M,100,0,977,977
2014,Colt,M,100,0,973,973
2014,Barrett,M,98,21,950,971
2014,Alicia,F,100,967,0,967
2014,Briella,F,100,967,0,967
2014,Lucille,F,100,966,0,966
2014,Romeo,M,100,0,962,962
2014,Grady,M,99,7,953,960
2014,Roberto,M,100,0,959,959
2014,Maximiliano,M,100,0,956,956
2014,Zaiden,M,99,5,948,953
2014,Malia,F,100,948,0,948
2014,Selena,F,100,947,0,947
